Date,Source,Season,Production
2020-05-24 00:00:00,Wind,Spring,4384
2021-07-26 00:00:00,Wind,Summer,1465
2020-09-28 00:00:00,Wind,Fall,3962
2021-08-25 00:00:00,Wind,Summer,6786
2021-12-16 00:00:00,Wind,Winter,5553
2022-03-11 00:00:00,Wind,Spring,10557
2020-04-13 00:00:00,Wind,Spring,10961
2022-10-04 00:00:00,Wind,Fall,2160
2025-06-12 00:00:00,Wind,Summer,8382
2022-08-18 00:00:00,Solar,Summer,3688
2025-10-25 00:00:00,Wind,Fall,8209
2023-10-24 00:00:00,Wind,Fall,6448
2021-10-13 00:00:00,Wind,Fall,2194
2025-07-19 00:00:00,Wind,Summer,10173
2021-06-01 00:00:00,Wind,Summer,5221
2022-06-30 00:00:00,Wind,Summer,2181
2020-01-04 00:00:00,Wind,Winter,3143
2020-04-23 00:00:00,Wind,Spring,2541
2021-09-19 00:00:00,Wind,Fall,4133
2021-02-01 00:00:00,Wind,Winter,5020
2022-07-08 00:00:00,Wind,Summer,3748
2025-07-08 00:00:00,Solar,Summer,13125
2021-07-07 00:00:00,Solar,Summer,5096
2020-01-22 00:00:00,Wind,Winter,4074
2025-06-28 00:00:00,Solar,Summer,7681
2021-02-25 00:00:00,Wind,Winter,4820
2021-05-22 00:00:00,Wind,Spring,10961
2022-02-16 00:00:00,Wind,Winter,14822
2023-06-22 00:00:00,Wind,Summer,3376
2022-06-18 00:00:00,Wind,Summer,8199
2022-06-08 00:00:00,Wind,Summer,10512
2022-12-01 00:00:00,Wind,Winter,3869
2023-04-17 00:00:00,Wind,Spring,10404
2020-12-09 00:00:00,Wind,Winter,3334
2023-02-07 00:00:00,Wind,Winter,5042
2020-09-28 00:00:00,Wind,Fall,4228
2023-02-12 00:00:00,Solar,Winter,5718
2023-11-23 00:00:00,Wind,Fall,2948
2024-12-12 00:00:00,Wind,Winter,3528
2025-05-11 00:00:00,Wind,Spring,7504
2024-05-30 00:00:00,Wind,Spring,8561
2024-07-29 00:00:00,Solar,Summer,8215
2024-08-27 00:00:00,Wind,Summer,3000
2021-11-13 00:00:00,Wind,Fall,5084
2021-09-20 00:00:00,Wind,Fall,3112
2023-02-13 00:00:00,Solar,Winter,6722
2020-11-14 00:00:00,Wind,Fall,4362
2025-01-29 00:00:00,Wind,Winter,18199
2022-03-02 00:00:00,Wind,Spring,2961
2025-06-06 00:00:00,Wind,Summer,7448
2025-07-15 00:00:00,Wind,Summer,3144
2022-05-15 00:00:00,Solar,Spring,9252
2024-06-06 00:00:00,Solar,Summer,7935
2020-12-01 00:00:00,Wind,Winter,7577
2020-02-01 00:00:00,Wind,Winter,10073
2022-12-05 00:00:00,Wind,Winter,723
2021-11-02 00:00:00,Wind,Fall,1723
2024-03-30 00:00:00,Solar,Spring,7864
2020-05-07 00:00:00,Solar,Spring,4403
2024-07-22 00:00:00,Wind,Summer,3323
2022-01-23 00:00:00,Wind,Winter,3658
2024-04-16 00:00:00,Wind,Spring,14410
2021-02-02 00:00:00,Wind,Winter,9228
2025-04-06 00:00:00,Solar,Spring,8484
2025-10-24 00:00:00,Wind,Fall,12993
2024-09-12 00:00:00,Wind,Fall,4668
2021-06-01 00:00:00,Wind,Summer,3220
2022-06-10 00:00:00,Wind,Summer,2337
2024-05-12 00:00:00,Wind,Spring,3727
2025-11-01 00:00:00,Wind,Fall,13837
2022-05-29 00:00:00,Solar,Spring,7338
2023-08-30 00:00:00,Wind,Summer,7641
2023-04-29 00:00:00,Wind,Spring,2453
2022-05-22 00:00:00,Solar,Spring,5188
2022-08-12 00:00:00,Solar,Summer,8910
2020-08-31 00:00:00,Solar,Summer,4731
2020-09-17 00:00:00,Wind,Fall,5365
2023-05-13 00:00:00,Solar,Spring,7155
2021-10-16 00:00:00,Solar,Fall,4121
2022-01-04 00:00:00,Wind,Winter,6398
2024-11-10 00:00:00,Wind,Fall,2532
2022-04-25 00:00:00,Wind,Spring,2493
2021-05-14 00:00:00,Wind,Spring,7152
2020-10-14 00:00:00,Wind,Fall,3082
2021-09-29 00:00:00,Wind,Fall,11398
2020-02-02 00:00:00,Wind,Winter,6412
2021-07-10 00:00:00,Wind,Summer,3038
2022-06-09 00:00:00,Wind,Summer,6305
2021-12-04 00:00:00,Wind,Winter,8913
2020-08-05 00:00:00,Wind,Summer,1018
2020-01-22 00:00:00,Wind,Winter,3930
2024-02-21 00:00:00,Wind,Winter,3618
2021-01-01 00:00:00,Solar,Winter,1994
2021-07-20 00:00:00,Wind,Summer,3054
2025-07-09 00:00:00,Solar,Summer,9719
2024-12-08 00:00:00,Wind,Winter,16946
2024-10-21 00:00:00,Wind,Fall,4621
2025-07-03 00:00:00,Solar,Summer,9835
2022-06-03 00:00:00,Wind,Summer,3026
2022-06-15 00:00:00,Solar,Summer,6208
2022-03-18 00:00:00,Wind,Spring,8159
2021-03-09 00:00:00,Wind,Spring,2948
2022-02-17 00:00:00,Wind,Winter,8507
2021-11-11 00:00:00,Wind,Fall,982
2020-06-06 00:00:00,Wind,Summer,5766
2020-10-24 00:00:00,Wind,Fall,8585
2023-09-18 00:00:00,Wind,Fall,8347
2025-11-24 00:00:00,Wind,Fall,8309
2021-09-09 00:00:00,Wind,Fall,2685
2025-09-25 00:00:00,Wind,Fall,3302
2021-05-12 00:00:00,Wind,Spring,4435
2022-06-02 00:00:00,Solar,Summer,4378
2025-01-14 00:00:00,Solar,Winter,4353
2023-03-22 00:00:00,Wind,Spring,15456
2024-07-07 00:00:00,Wind,Summer,4892
2021-01-28 00:00:00,Wind,Winter,9675
2025-02-12 00:00:00,Wind,Winter,2685
2021-08-25 00:00:00,Solar,Summer,9454
2023-07-17 00:00:00,Wind,Summer,2269
2025-06-25 00:00:00,Solar,Summer,9397
2021-03-03 00:00:00,Wind,Spring,1845
2021-06-22 00:00:00,Wind,Summer,6749
2025-03-19 00:00:00,Solar,Spring,13786
2020-05-31 00:00:00,Wind,Spring,5250
2020-02-21 00:00:00,Wind,Winter,7148
2023-06-04 00:00:00,Wind,Summer,4706
2025-03-03 00:00:00,Wind,Spring,2282
2025-08-17 00:00:00,Solar,Summer,11455
2020-01-03 00:00:00,Wind,Winter,4570
2023-05-19 00:00:00,Wind,Spring,8236
2021-04-03 00:00:00,Wind,Spring,7508
2025-07-16 00:00:00,Solar,Summer,16160
2024-06-08 00:00:00,Wind,Summer,2141
2022-09-29 00:00:00,Solar,Fall,3999
2024-09-19 00:00:00,Wind,Fall,8855
2021-05-23 00:00:00,Wind,Spring,6519
2024-11-19 00:00:00,Wind,Fall,16568
2025-11-02 00:00:00,Wind,Fall,17124
2020-03-06 00:00:00,Wind,Spring,4409
2025-09-24 00:00:00,Wind,Fall,10617
2021-03-06 00:00:00,Wind,Spring,6907
2024-01-08 00:00:00,Wind,Winter,11458
2024-01-29 00:00:00,Wind,Winter,8026
2024-06-08 00:00:00,Wind,Summer,2990
2020-09-05 00:00:00,Wind,Fall,2313
2023-08-29 00:00:00,Solar,Summer,6026
2023-03-31 00:00:00,Wind,Spring,17308
2021-08-02 00:00:00,Solar,Summer,4915
2021-11-12 00:00:00,Wind,Fall,4622
2024-04-07 00:00:00,Wind,Spring,6534
2022-08-23 00:00:00,Wind,Summer,692
2025-03-31 00:00:00,Solar,Spring,12441
2024-12-12 00:00:00,Wind,Winter,3205
2023-10-30 00:00:00,Wind,Fall,6382
2025-07-13 00:00:00,Wind,Summer,2819
2020-03-10 00:00:00,Wind,Spring,12787
2021-01-09 00:00:00,Wind,Winter,2353
2021-04-02 00:00:00,Wind,Spring,7071
2022-11-24 00:00:00,Wind,Fall,10233
2025-08-04 00:00:00,Wind,Summer,2819
2021-09-24 00:00:00,Solar,Fall,3708
2020-11-14 00:00:00,Wind,Fall,9092
2025-02-12 00:00:00,Solar,Winter,3734
2024-11-18 00:00:00,Wind,Fall,7419
2025-08-25 00:00:00,Solar,Summer,7160
2025-11-11 00:00:00,Wind,Fall,13901
2021-09-15 00:00:00,Wind,Fall,2675
2022-08-21 00:00:00,Wind,Summer,794
2025-11-14 00:00:00,Wind,Fall,10916
2022-04-30 00:00:00,Solar,Spring,6810
2022-10-09 00:00:00,Wind,Fall,4965
2024-04-26 00:00:00,Wind,Spring,2294
2022-03-12 00:00:00,Wind,Spring,9696
2023-02-21 00:00:00,Solar,Winter,4252
2023-03-29 00:00:00,Solar,Spring,8491
2021-04-27 00:00:00,Wind,Spring,2003
2020-02-17 00:00:00,Wind,Winter,6453
2024-01-19 00:00:00,Wind,Winter,3521
2025-03-31 00:00:00,Wind,Spring,5090
2021-11-02 00:00:00,Wind,Fall,6192
2022-11-11 00:00:00,Wind,Fall,3461
2021-10-26 00:00:00,Solar,Fall,5605
2022-09-22 00:00:00,Wind,Fall,399
2025-05-11 00:00:00,Solar,Spring,4563
2022-01-28 00:00:00,Wind,Winter,2439
2022-11-20 00:00:00,Wind,Fall,9228
2022-07-12 00:00:00,Wind,Summer,4082
2024-11-24 00:00:00,Wind,Fall,22929
2020-02-01 00:00:00,Wind,Winter,9131
2024-11-06 00:00:00,Wind,Fall,189
2021-10-28 00:00:00,Wind,Fall,6796
2020-10-22 00:00:00,Wind,Fall,5144
2022-03-10 00:00:00,Wind,Spring,6808
2021-11-03 00:00:00,Wind,Fall,3819
2024-12-08 00:00:00,Wind,Winter,16670
2020-06-03 00:00:00,Wind,Summer,631
2020-06-27 00:00:00,Wind,Summer,9506
2021-06-04 00:00:00,Wind,Summer,1527
2020-11-17 00:00:00,Wind,Fall,2667
2021-10-21 00:00:00,Wind,Fall,11321
2021-08-19 00:00:00,Wind,Summer,940
2020-06-04 00:00:00,Wind,Summer,2918
2023-08-14 00:00:00,Solar,Summer,7955
2024-05-13 00:00:00,Wind,Spring,2321
2024-08-11 00:00:00,Solar,Summer,5870
2021-05-04 00:00:00,Wind,Spring,13322
2025-04-26 00:00:00,Solar,Spring,4018
2020-01-21 00:00:00,Wind,Winter,3303
2021-11-02 00:00:00,Wind,Fall,2311
2023-07-29 00:00:00,Wind,Summer,3618
2023-05-21 00:00:00,Wind,Spring,4686
2025-02-07 00:00:00,Wind,Winter,9119
2022-07-25 00:00:00,Wind,Summer,10186
2024-10-16 00:00:00,Wind,Fall,11196
2022-01-11 00:00:00,Wind,Winter,2621
2024-04-19 00:00:00,Wind,Spring,6475
2024-07-28 00:00:00,Wind,Summer,6281
2025-04-05 00:00:00,Wind,Spring,8043
2022-01-04 00:00:00,Wind,Winter,9372
2023-07-06 00:00:00,Wind,Summer,1028
2024-03-22 00:00:00,Wind,Spring,7326
2024-01-16 00:00:00,Wind,Winter,2207
2024-05-08 00:00:00,Wind,Spring,3372
2025-01-26 00:00:00,Wind,Winter,19633
2020-07-20 00:00:00,Wind,Summer,3155
2024-03-02 00:00:00,Wind,Spring,11147
2021-05-17 00:00:00,Wind,Spring,15419
2024-09-22 00:00:00,Wind,Fall,3577
2021-07-18 00:00:00,Wind,Summer,5140
2020-03-20 00:00:00,Wind,Spring,7700
2025-04-14 00:00:00,Wind,Spring,5469
2020-02-19 00:00:00,Wind,Winter,7659
2021-11-21 00:00:00,Wind,Fall,556
2023-10-25 00:00:00,Wind,Fall,10951
2023-07-16 00:00:00,Wind,Summer,5612
2020-07-22 00:00:00,Solar,Summer,3790
2024-03-08 00:00:00,Wind,Spring,10506
2020-12-10 00:00:00,Wind,Winter,3341
2022-06-19 00:00:00,Wind,Summer,7096
2024-10-23 00:00:00,Wind,Fall,5480
2024-06-11 00:00:00,Wind,Summer,2863
2021-09-09 00:00:00,Wind,Fall,1689
2020-06-11 00:00:00,Wind,Summer,5051
2024-06-07 00:00:00,Wind,Summer,1976
2024-03-26 00:00:00,Wind,Spring,8226
2022-02-09 00:00:00,Wind,Winter,4407
2025-02-15 00:00:00,Wind,Winter,5334
2021-04-28 00:00:00,Wind,Spring,857
2020-08-27 00:00:00,Solar,Summer,4553
2024-10-01 00:00:00,Wind,Fall,6398
2021-05-21 00:00:00,Wind,Spring,9704
2021-12-05 00:00:00,Wind,Winter,4707
2022-08-01 00:00:00,Solar,Summer,6729
2022-09-18 00:00:00,Wind,Fall,4648
2025-01-14 00:00:00,Wind,Winter,2738
2025-01-04 00:00:00,Wind,Winter,4819
2020-08-23 00:00:00,Wind,Summer,3074
2022-12-11 00:00:00,Solar,Winter,4059
2024-07-05 00:00:00,Wind,Summer,3591
2021-07-12 00:00:00,Wind,Summer,3055
2022-12-04 00:00:00,Wind,Winter,1267
2023-09-29 00:00:00,Wind,Fall,10069
2024-10-06 00:00:00,Wind,Fall,7982
2023-02-27 00:00:00,Wind,Winter,11622
2021-06-06 00:00:00,Wind,Summer,2047
2022-04-06 00:00:00,Wind,Spring,13616
2025-01-29 00:00:00,Wind,Winter,13601
2024-10-30 00:00:00,Wind,Fall,3374
2024-06-14 00:00:00,Wind,Summer,11508
2024-02-05 00:00:00,Wind,Winter,7217
2020-11-16 00:00:00,Wind,Fall,9712
2025-11-03 00:00:00,Wind,Fall,14275
2023-05-28 00:00:00,Wind,Spring,9225
2020-01-24 00:00:00,Wind,Winter,628
2022-02-04 00:00:00,Wind,Winter,6025
2020-01-02 00:00:00,Wind,Winter,5346
2022-08-30 00:00:00,Wind,Summer,5425
2025-11-29 00:00:00,Wind,Fall,5241
2025-05-14 00:00:00,Solar,Spring,7025
2024-12-25 00:00:00,Wind,Winter,1698
2024-09-16 00:00:00,Solar,Fall,8063
2020-06-13 00:00:00,Wind,Summer,3116
2025-05-26 00:00:00,Solar,Spring,10578
2022-01-29 00:00:00,Wind,Winter,8062
2021-08-29 00:00:00,Wind,Summer,3373
2023-08-17 00:00:00,Wind,Summer,2138
2021-11-01 00:00:00,Wind,Fall,6650
2025-04-27 00:00:00,Solar,Spring,4171
2020-03-25 00:00:00,Wind,Spring,7278
2025-11-13 00:00:00,Wind,Fall,10055
2022-10-29 00:00:00,Wind,Fall,8680
2025-05-12 00:00:00,Wind,Spring,2071
2021-12-26 00:00:00,Wind,Winter,2979
2022-11-27 00:00:00,Wind,Fall,6949
2025-06-10 00:00:00,Wind,Summer,4337
2020-01-14 00:00:00,Wind,Winter,13956
2025-04-19 00:00:00,Wind,Spring,4692
2022-10-16 00:00:00,Wind,Fall,3203
2025-11-08 00:00:00,Solar,Fall,5483
2023-06-03 00:00:00,Wind,Summer,7045
2022-12-21 00:00:00,Wind,Winter,5289
2022-08-15 00:00:00,Wind,Summer,2354
2025-06-14 00:00:00,Wind,Summer,2617
2021-11-11 00:00:00,Wind,Fall,904
2024-04-02 00:00:00,Wind,Spring,9355
2024-12-03 00:00:00,Wind,Winter,6322
2021-08-18 00:00:00,Solar,Summer,4153
2022-02-18 00:00:00,Wind,Winter,6361
2020-06-15 00:00:00,Solar,Summer,3227
2020-06-06 00:00:00,Wind,Summer,5774
2022-10-31 00:00:00,Wind,Fall,3071
2023-08-02 00:00:00,Wind,Summer,18182
2023-06-08 00:00:00,Wind,Summer,4578
2024-04-21 00:00:00,Wind,Spring,10808
2025-11-02 00:00:00,Wind,Fall,11230
2023-01-11 00:00:00,Wind,Winter,15390
2020-03-19 00:00:00,Solar,Spring,3951
2025-08-17 00:00:00,Wind,Summer,6183
2020-08-07 00:00:00,Wind,Summer,2021
2025-11-22 00:00:00,Wind,Fall,8243
2025-09-04 00:00:00,Wind,Fall,6876
2020-07-22 00:00:00,Solar,Summer,2606
2021-04-26 00:00:00,Wind,Spring,9366
2021-08-19 00:00:00,Wind,Summer,1485
2022-10-25 00:00:00,Solar,Fall,5213
2020-04-06 00:00:00,Wind,Spring,6188
2023-07-08 00:00:00,Solar,Summer,8194
2020-05-10 00:00:00,Wind,Spring,2276
2020-01-17 00:00:00,Wind,Winter,9434
2024-01-10 00:00:00,Wind,Winter,2524
2022-03-29 00:00:00,Solar,Spring,4278
2022-12-07 00:00:00,Solar,Winter,3789
2024-06-06 00:00:00,Wind,Summer,1268
2020-01-30 00:00:00,Wind,Winter,6684
2020-08-18 00:00:00,Solar,Summer,1797
2024-12-12 00:00:00,Wind,Winter,3380
2022-04-04 00:00:00,Wind,Spring,8520
2025-10-13 00:00:00,Wind,Fall,6073
2024-06-18 00:00:00,Wind,Summer,2793
2022-05-10 00:00:00,Wind,Spring,2478
2023-04-26 00:00:00,Solar,Spring,4624
2021-06-16 00:00:00,Wind,Summer,1499
2021-09-03 00:00:00,Wind,Fall,2094
2025-04-07 00:00:00,Wind,Spring,6184
2020-07-21 00:00:00,Wind,Summer,3014
2022-05-12 00:00:00,Solar,Spring,4025
2022-12-22 00:00:00,Wind,Winter,13135
2024-10-08 00:00:00,Wind,Fall,13096
2021-06-13 00:00:00,Wind,Summer,2592
2021-03-09 00:00:00,Wind,Spring,2083
2022-01-03 00:00:00,Wind,Winter,8634
2025-02-15 00:00:00,Wind,Winter,5507
2021-12-03 00:00:00,Wind,Winter,13277
2021-05-07 00:00:00,Wind,Spring,3061
2025-06-27 00:00:00,Wind,Summer,3511
2020-02-01 00:00:00,Wind,Winter,11252
2020-07-01 00:00:00,Wind,Summer,4054
2023-05-01 00:00:00,Wind,Spring,3856
2025-07-08 00:00:00,Solar,Summer,8997
2021-02-18 00:00:00,Wind,Winter,6214
2022-11-28 00:00:00,Wind,Fall,5047
2021-07-01 00:00:00,Solar,Summer,3901
2023-11-15 00:00:00,Wind,Fall,4554
2021-01-14 00:00:00,Wind,Winter,8411
2020-05-27 00:00:00,Solar,Spring,5832
2020-04-16 00:00:00,Wind,Spring,1491
2020-06-29 00:00:00,Wind,Summer,10010
2024-04-02 00:00:00,Wind,Spring,13175
2022-05-08 00:00:00,Wind,Spring,4285
2023-12-29 00:00:00,Wind,Winter,13922
2024-03-15 00:00:00,Wind,Spring,10445
2021-06-07 00:00:00,Wind,Summer,1268
2020-03-31 00:00:00,Wind,Spring,10262
2021-09-13 00:00:00,Wind,Fall,2586
2023-01-16 00:00:00,Wind,Winter,16385
2021-02-01 00:00:00,Wind,Winter,3405
2022-09-13 00:00:00,Wind,Fall,1654
2023-07-29 00:00:00,Wind,Summer,11966
2020-08-09 00:00:00,Solar,Summer,3364
2021-09-23 00:00:00,Wind,Fall,1404
2021-03-18 00:00:00,Wind,Spring,4597
2024-01-13 00:00:00,Wind,Winter,2503
2023-06-27 00:00:00,Wind,Summer,2239
2023-12-15 00:00:00,Wind,Winter,2968
2023-06-12 00:00:00,Wind,Summer,3168
2020-12-14 00:00:00,Wind,Winter,8437
2023-05-04 00:00:00,Solar,Spring,11275
2022-01-06 00:00:00,Solar,Winter,5010
2023-05-05 00:00:00,Wind,Spring,2188
2021-03-24 00:00:00,Wind,Spring,2191
2020-11-06 00:00:00,Wind,Fall,6584
2025-10-13 00:00:00,Wind,Fall,7395
2025-04-09 00:00:00,Wind,Spring,11401
2022-06-13 00:00:00,Wind,Summer,3888
2020-12-06 00:00:00,Wind,Winter,3896
2022-12-26 00:00:00,Wind,Winter,5200
2022-07-07 00:00:00,Wind,Summer,8067
2021-09-27 00:00:00,Wind,Fall,10010
2024-01-29 00:00:00,Wind,Winter,7099
2024-03-25 00:00:00,Wind,Spring,8820
2022-12-27 00:00:00,Wind,Winter,4677
2021-12-03 00:00:00,Wind,Winter,11102
2023-04-04 00:00:00,Solar,Spring,10833
2024-03-28 00:00:00,Wind,Spring,15504
2022-12-23 00:00:00,Wind,Winter,11216
2025-04-27 00:00:00,Wind,Spring,3364
2020-04-20 00:00:00,Wind,Spring,5506
2022-10-17 00:00:00,Wind,Fall,6996
2025-01-02 00:00:00,Wind,Winter,12035
2020-07-24 00:00:00,Solar,Summer,6901
2020-11-21 00:00:00,Wind,Fall,4830
2022-08-22 00:00:00,Wind,Summer,2515
2022-12-29 00:00:00,Wind,Winter,11261
2022-11-11 00:00:00,Wind,Fall,4623
2021-07-15 00:00:00,Wind,Summer,5085
2020-06-29 00:00:00,Wind,Summer,8918
2020-11-02 00:00:00,Wind,Fall,8515
2022-06-08 00:00:00,Wind,Summer,10122
2020-11-27 00:00:00,Wind,Fall,1637
2022-03-01 00:00:00,Wind,Spring,1775
2025-08-19 00:00:00,Solar,Summer,6355
2022-11-13 00:00:00,Wind,Fall,2673
2025-11-06 00:00:00,Wind,Fall,2696
2022-07-13 00:00:00,Solar,Summer,6334
2021-12-27 00:00:00,Wind,Winter,8156
2021-10-25 00:00:00,Wind,Fall,3029
2023-09-12 00:00:00,Wind,Fall,705
2023-04-02 00:00:00,Wind,Spring,8890
2021-09-28 00:00:00,Wind,Fall,2108
2024-05-17 00:00:00,Solar,Spring,7184
2025-11-13 00:00:00,Wind,Fall,12913
2020-10-13 00:00:00,Wind,Fall,5579
2021-02-17 00:00:00,Wind,Winter,7964
2020-10-09 00:00:00,Wind,Fall,3322
2025-02-19 00:00:00,Wind,Winter,7629
2021-11-16 00:00:00,Wind,Fall,1087
2020-12-30 00:00:00,Wind,Winter,5476
2022-07-14 00:00:00,Solar,Summer,8923
2023-03-19 00:00:00,Wind,Spring,7895
2024-07-24 00:00:00,Solar,Summer,6845
2024-10-31 00:00:00,Wind,Fall,1073
2023-05-09 00:00:00,Wind,Spring,7431
2021-03-09 00:00:00,Wind,Spring,2088
2024-05-06 00:00:00,Wind,Spring,3270
2022-10-26 00:00:00,Wind,Fall,3223
2021-12-07 00:00:00,Wind,Winter,11221
2024-05-05 00:00:00,Wind,Spring,2081
2023-04-23 00:00:00,Wind,Spring,14741
2022-11-02 00:00:00,Wind,Fall,7737
2021-03-14 00:00:00,Wind,Spring,13538
2021-11-29 00:00:00,Wind,Fall,3702
2025-06-14 00:00:00,Solar,Summer,4546
2024-04-28 00:00:00,Wind,Spring,7916
2020-05-13 00:00:00,Wind,Spring,3264
2025-06-04 00:00:00,Solar,Summer,8625
2024-06-23 00:00:00,Solar,Summer,4144
2024-01-24 00:00:00,Wind,Winter,15539
2021-10-14 00:00:00,Wind,Fall,1720
2021-10-08 00:00:00,Wind,Fall,5380
2023-03-17 00:00:00,Wind,Spring,6418
2023-08-28 00:00:00,Wind,Summer,2801
2022-09-07 00:00:00,Solar,Fall,7186
2023-12-23 00:00:00,Wind,Winter,15819
2023-08-05 00:00:00,Wind,Summer,11382
2023-05-28 00:00:00,Wind,Spring,9894
2022-07-20 00:00:00,Wind,Summer,3765
2023-01-18 00:00:00,Wind,Winter,4661
2024-09-29 00:00:00,Wind,Fall,1731
2024-02-23 00:00:00,Wind,Winter,16403
2021-10-04 00:00:00,Wind,Fall,7024
2025-10-20 00:00:00,Wind,Fall,13425
2023-03-24 00:00:00,Wind,Spring,12405
2020-07-23 00:00:00,Solar,Summer,1954
2020-05-13 00:00:00,Wind,Spring,7165
2022-09-06 00:00:00,Wind,Fall,2214
2021-02-17 00:00:00,Wind,Winter,7775
2021-05-29 00:00:00,Solar,Spring,6169
2024-07-25 00:00:00,Wind,Summer,2257
2022-04-16 00:00:00,Wind,Spring,6001
2020-07-28 00:00:00,Wind,Summer,4107
2021-05-31 00:00:00,Wind,Spring,3587
2024-06-27 00:00:00,Wind,Summer,4170
2021-10-23 00:00:00,Wind,Fall,3701
2022-11-22 00:00:00,Wind,Fall,10307
2020-03-26 00:00:00,Wind,Spring,4960
2020-08-09 00:00:00,Wind,Summer,963
2025-11-23 00:00:00,Wind,Fall,6568
2022-06-17 00:00:00,Wind,Summer,3147
2020-09-06 00:00:00,Wind,Fall,1309
2023-01-08 00:00:00,Wind,Winter,13363
2020-05-27 00:00:00,Wind,Spring,4422
2023-12-29 00:00:00,Wind,Winter,15941
2022-01-06 00:00:00,Wind,Winter,2846
2025-03-08 00:00:00,Wind,Spring,10805
2023-06-25 00:00:00,Solar,Summer,8815
2023-10-31 00:00:00,Wind,Fall,11825
2021-04-18 00:00:00,Wind,Spring,2893
2020-05-05 00:00:00,Wind,Spring,6849
2023-05-03 00:00:00,Solar,Spring,7624
2023-09-03 00:00:00,Wind,Fall,5905
2024-10-25 00:00:00,Wind,Fall,1798
2022-05-11 00:00:00,Wind,Spring,3550
2025-01-30 00:00:00,Wind,Winter,8803
2020-04-29 00:00:00,Wind,Spring,4808
2020-04-03 00:00:00,Wind,Spring,2053
2020-05-14 00:00:00,Wind,Spring,7248
2020-08-22 00:00:00,Wind,Summer,7218
2021-04-24 00:00:00,Wind,Spring,6192
2025-06-26 00:00:00,Wind,Summer,14166
2020-10-07 00:00:00,Wind,Fall,4044
2020-02-11 00:00:00,Wind,Winter,14541
2024-10-21 00:00:00,Wind,Fall,6386
2022-08-07 00:00:00,Wind,Summer,5411
2021-01-08 00:00:00,Wind,Winter,1043
2020-03-27 00:00:00,Solar,Spring,5875
2022-09-14 00:00:00,Solar,Fall,6213
2021-02-09 00:00:00,Wind,Winter,5404
2021-04-25 00:00:00,Wind,Spring,8275
2022-12-20 00:00:00,Wind,Winter,13886
2023-03-15 00:00:00,Wind,Spring,3420
2024-01-09 00:00:00,Wind,Winter,3646
2021-06-05 00:00:00,Solar,Summer,5731
2024-11-28 00:00:00,Wind,Fall,4321
2020-04-28 00:00:00,Wind,Spring,3006
2025-10-08 00:00:00,Wind,Fall,730
2025-07-24 00:00:00,Solar,Summer,8701
2021-05-18 00:00:00,Wind,Spring,3351
